driver_code,meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,clean
VER,1290,11334,3,20,2026-07-19T13:42:24.066000+00:00,31.309,57.599,40.405,313.0,149,False,129.313,"[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0,False
VER,1290,11334,3,21,2026-07-19T13:44:33.364000+00:00,42.246,49.199,29.803,278.0,201,False,121.248,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",260.0,False
VER,1290,11334,3,22,2026-07-19T13:46:34.579000+00:00,31.332,48.925,29.469,313.0,202,False,109.726,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",289.0,True
VER,1290,11334,3,23,2026-07-19T13:48:24.342000+00:00,31.403,48.669,29.546,311.0,203,False,109.618,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0,True
VER,1290,11334,3,24,2026-07-19T13:50:13.901000+00:00,31.376,48.756,29.498,312.0,202,False,109.63,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",,True
VER,1290,11334,3,25,2026-07-19T13:52:03.632000+00:00,31.373,48.959,29.469,311.0,202,False,109.801,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2048, 2048, 2048]",291.0,True
VER,1290,11334,3,26,2026-07-19T13:53:53.309000+00:00,31.35,49.313,29.409,316.0,197,False,110.072,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048]",289.0,True
VER,1290,11334,3,27,2026-07-19T13:55:43.419000+00:00,31.6,49.23,29.271,318.0,199,False,110.101,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",288.0,True
VER,1290,11334,3,28,2026-07-19T13:57:33.532000+00:00,31.106,49.82,29.412,326.0,195,False,110.338,"[None, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",292.0,True
VER,1290,11334,3,29,2026-07-19T13:59:23.947000+00:00,30.752,50.084,29.532,332.0,200,False,110.368,"[None, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",299.0,True
